Episode,Agent_J1,Agent_J2,Agent_J5,Agent_J7
1,-1177.2633333333333,-1141.4966666666667,-1136.53,-1100.1666666666667
2,-1020.7166666666666,-1024.6466666666665,-1005.3833333333333,-1017.4166666666666
3,-1220.69,-1177.3333333333333,-978.9933333333333,-1073.04
4,-1016.4233333333333,-1013.92,-1071.1533333333332,-1072.8033333333333
5,-1176.3633333333332,-982.2433333333333,-1188.9199999999998,-1056.9099999999999
6,-1329.0533333333333,-1343.9299999999998,-1148.5466666666666,-1208.3833333333332
7,-1146.5233333333333,-1108.0233333333333,-1174.12,-1321.4166666666665
8,-1270.62,-1133.5733333333333,-1306.9233333333334,-1212.93
9,-1476.5633333333333,-1150.74,-1218.4433333333334,-1278.7333333333333
10,-1281.7233333333334,-1199.21,-1248.0766666666666,-1225.8366666666666
11,-1211.8833333333332,-1112.6599999999999,-1259.29,-1227.7133333333334
12,-1151.27,-1076.32,-1140.9933333333333,-1192.8333333333333
13,-1250.8766666666666,-1148.3733333333332,-1255.2733333333333,-1199.1533333333332
14,-1247.5133333333333,-1140.9333333333334,-1163.6733333333334,-1188.6966666666667
15,-1204.7733333333333,-1070.1666666666665,-1043.7566666666667,-1232.6766666666665
16,-1071.1866666666667,-1063.74,-1080.2966666666666,-1053.0433333333333
17,-1120.5566666666666,-1057.1066666666666,-1141.31,-1342.5433333333333
18,-1186.9033333333332,-1283.0,-1201.74,-1187.8466666666666
19,-1065.3799999999999,-1226.6666666666665,-1333.2333333333333,-1084.3133333333333
20,-1052.29,-1260.3266666666666,-1476.1833333333332,-1234.9566666666667
21,-1231.96,-931.3,-1261.1699999999998,-1187.1499999999999
22,-1355.5733333333333,-1070.7533333333333,-1002.93,-1436.8566666666666
23,-906.6333333333333,-1028.6233333333332,-1129.7766666666666,-1261.16
24,-1075.6699999999998,-1177.1799999999998,-1216.0433333333333,-1432.5166666666667
25,-1122.9166666666667,-1561.2733333333333,-1191.2733333333333,-1098.9866666666667
26,-1134.8,-1108.0166666666667,-1487.0366666666666,-993.6633333333333
27,-1475.8566666666666,-1106.5766666666666,-1279.6599999999999,-1194.4466666666667
28,-1103.5933333333332,-1000.7166666666666,-1308.5933333333332,-1352.4099999999999
29,-955.9366666666666,-1155.7366666666667,-1118.7933333333333,-1262.56
30,-1341.3133333333333,-1128.6766666666667,-1125.5166666666667,-1437.9866666666667
31,-1070.1266666666666,-1227.8366666666666,-1556.83,-1283.6066666666666
32,-1010.0466666666666,-1134.2366666666667,-1248.2733333333333,-1260.4466666666667
33,-1130.6833333333334,-1254.52,-971.1166666666667,-1372.6533333333332
34,-1335.5,-997.9933333333333,-1138.5033333333333,-1227.5066666666667
35,-1138.4866666666667,-1173.3233333333333,-1378.1766666666667,-1179.5466666666666
36,-1183.6433333333332,-1094.9966666666667,-1091.2066666666667,-1274.99
37,-1311.4299999999998,-1158.82,-1386.6033333333332,-1078.95
38,-1272.8966666666665,-1183.09,-1130.8733333333332,-1407.35
39,-1063.4099999999999,-1048.3366666666666,-1278.9066666666665,-1438.5733333333333
40,-1045.36,-1220.6699999999998,-1042.18,-1260.36
41,-1220.5566666666666,-1246.6499999999999,-1230.77,-1355.2666666666667
42,-1200.1333333333332,-1089.78,-1319.71,-1349.75
43,-1124.4933333333333,-1139.2,-1139.43,-1185.8899999999999
44,-1076.6466666666665,-1373.3433333333332,-1371.3799999999999,-1545.52
45,-1148.7866666666666,-1247.0666666666666,-1265.8966666666665,-1592.78
46,-1192.4066666666665,-1157.5233333333333,-1107.6133333333332,-1195.08
47,-1111.6533333333332,-1491.8066666666666,-1454.83,-1629.7533333333333
48,-1113.2766666666666,-1209.54,-1385.2833333333333,-1429.8866666666665
49,-1477.47,-1177.8833333333332,-1297.7266666666667,-1458.4399999999998
50,-1126.8,-980.01,-1079.3133333333333,-1293.8999999999999
51,-1339.69,-1435.5,-1258.98,-1478.6599999999999
52,-956.2133333333333,-1347.8433333333332,-1532.5233333333333,-1343.6066666666666
53,-1408.6633333333332,-1209.9366666666667,-1240.8333333333333,-1274.3866666666665
54,-1236.0833333333333,-1305.31,-1396.36,-1377.9766666666667
55,-1046.4333333333334,-1160.2133333333334,-1090.3799999999999,-1227.23
56,-1132.8833333333332,-1262.2866666666666,-1131.6299999999999,-1247.2133333333334
57,-1025.4133333333332,-1209.2133333333334,-1231.79,-1711.0033333333333
58,-1145.5766666666666,-1208.3666666666666,-993.78,-1171.5833333333333
59,-1270.2266666666667,-1139.8666666666666,-1194.58,-1527.0966666666666
60,-1414.03,-1168.4766666666667,-1133.5666666666666,-1330.6633333333332
61,-1133.3933333333332,-1576.2666666666667,-1371.4433333333334,-1708.9099999999999
62,-1273.9766666666667,-1327.0966666666666,-1010.2466666666667,-1327.4433333333334
